timestamp,open,high,low,close,volume
2018-08-07,35.25,35.55,35.0,35.18,2661171
2018-08-06,33.91,34.99,33.83,34.9,4814308
2018-08-03,33.88,34.18,33.34,33.88,4126287
2018-08-02,33.84,34.17,33.625,33.94,2175346
2018-08-01,34.24,34.33,33.735,34.27,2943697
2018-07-31,34.25,34.9,34.25,34.58,3416159
2018-07-30,35.31,35.38,34.63,34.69,3035091
2018-07-27,33.83,35.04,33.83,34.73,3866246
2018-07-26,33.27,34.03,32.89,34.02,3515351
2018-07-25,33.1,33.46,32.575,33.27,4975683
2018-07-24,32.99,33.43,32.83,32.99,5201897
2018-07-23,31.85,32.76,31.34,32.5,5229772
2018-07-20,31.3,32.7,30.81,32.0,8592427
2018-07-19,32.25,32.55,31.73,31.78,5255774
2018-07-18,32.16,32.72,31.81,32.55,4141735
2018-07-17,32.2,32.79,31.99,32.64,3691910
2018-07-16,32.25,32.49,32.08,32.33,1388061
2018-07-13,32.68,33.09,32.415,32.63,2337615
2018-07-12,33.0,33.21,32.47,32.77,4180808
2018-07-11,33.86,34.07,32.68,32.92,3758112
2018-07-10,34.5,34.82,33.9,34.27,2315578
2018-07-09,33.89,34.76,33.82,34.44,2481923
2018-07-06,33.17,33.92,32.97,33.67,2491798
2018-07-05,33.33,33.55,33.18,33.25,2406132
2018-07-03,33.6,33.84,33.2,33.29,2004645
2018-07-02,32.83,33.11,32.19,32.94,3634627
2018-06-29,33.03,33.44,32.86,33.03,3390424
2018-06-28,33.46,33.67,32.77,32.95,2929793
2018-06-27,33.57,34.64,33.52,33.6,4098515
2018-06-26,32.5,33.46,32.35,33.13,3695764
2018-06-25,32.69,32.905,32.12,32.44,3520167
2018-06-22,33.3,33.61,32.585,32.72,10483248
2018-06-21,32.59,32.96,32.24,32.32,4137672
2018-06-20,32.97,33.17,32.15,33.07,3138257
2018-06-19,32.32,33.2,32.03,32.75,5834334
2018-06-18,32.54,32.92,32.33,32.54,5268084
2018-06-15,33.4,33.44,32.53,32.57,8217353
2018-06-14,34.29,34.42,33.58,33.68,4253628
2018-06-13,34.48,34.48,33.8,34.06,4910865
2018-06-12,34.23,34.8,34.13,34.54,4079426
2018-06-11,34.57,34.7,34.1,34.15,3581486
2018-06-08,34.59,34.76,33.89,34.7,3121335
2018-06-07,34.82,35.68,34.54,34.69,4292991
2018-06-06,33.74,34.99,33.69,34.64,6149425
2018-06-05,32.57,33.73,32.44,33.61,5632560
2018-06-04,34.5,34.81,32.25,32.67,6237130
2018-06-01,34.98,35.43,34.39,34.93,2905435
2018-05-31,35.45,35.55,34.58,34.59,5033894
2018-05-30,35.28,36.42,35.0,35.69,2507938
2018-05-29,34.27,35.01,34.0,34.87,3065881
2018-05-25,34.7,34.87,33.82,34.7,3602496
2018-05-24,35.53,36.345,35.02,35.67,3014727
2018-05-23,35.97,36.53,35.66,36.04,4017386
2018-05-22,36.48,37.07,36.07,36.4,3080345
2018-05-21,35.95,36.405,35.85,36.29,2980350
2018-05-18,36.72,36.79,35.85,35.87,3681501
2018-05-17,37.0,37.41,36.57,36.64,4268101
2018-05-16,36.2,36.97,35.99,36.85,2877046
2018-05-15,35.8,36.13,35.51,36.07,2359102
2018-05-14,35.75,36.409,35.64,35.68,2073359
2018-05-11,36.13,36.29,35.69,35.76,2741823
2018-05-10,35.93,36.31,35.455,36.18,3814749
2018-05-09,36.47,37.76,36.29,36.37,5141280
2018-05-08,35.62,36.18,35.12,36.03,3299763
2018-05-07,36.2,36.84,35.57,35.63,3528953
2018-05-04,35.33,36.19,35.3,36.0,3047756
2018-05-03,35.49,35.67,35.18,35.6,3838269
2018-05-02,35.39,36.11,35.37,35.6,3925259
2018-05-01,35.81,36.13,35.37,35.64,4064972
2018-04-30,35.77,36.485,35.73,36.11,3522536
2018-04-27,35.62,36.495,35.62,36.0,4649290
2018-04-26,35.11,36.08,35.0,35.98,3711334
2018-04-25,34.63,35.65,34.36,35.11,4332688
2018-04-24,35.08,35.44,34.09,34.63,3588854
2018-04-23,34.02,35.16,33.79,34.95,5526818
2018-04-20,33.72,35.68,33.16,33.99,8271250
2018-04-19,33.75,34.36,33.08,33.71,4564691
2018-04-18,33.02,34.26,32.92,33.76,4437839
2018-04-17,32.96,33.2601,32.77,32.81,3252478
2018-04-16,32.59,32.93,31.98,32.84,3279568
2018-04-13,32.24,32.86,31.87,32.57,3357215
2018-04-12,31.39,32.24,31.11,32.13,4044515
2018-04-11,30.84,31.81,30.79,31.22,3364217
2018-04-10,29.81,31.22,29.81,30.89,4223146
2018-04-09,29.82,29.89,29.2,29.4,3758632
2018-04-06,29.3,29.82,29.25,29.58,3700144
2018-04-05,30.01,30.6,29.46,29.71,5216825
2018-04-04,28.38,30.045,28.06,29.96,6282914
2018-04-03,28.35,28.98,27.25,28.92,5743935
2018-04-02,28.11,28.12,27.18,27.77,4745039
2018-03-29,28.07,28.17,27.66,27.77,7008341
2018-03-28,29.2,29.53,28.02,28.07,4761650
2018-03-27,29.78,30.37,29.015,29.2,5731573
2018-03-26,29.58,30.06,28.64,29.91,6474898
2018-03-23,30.03,30.07,29.05,29.2,5871071
2018-03-22,30.61,30.6925,29.75,29.78,4484641
2018-03-21,29.91,31.2,29.75,30.96,5712444
2018-03-20,30.59,30.84,29.84,29.85,5456174
2018-03-19,30.75,30.84,30.165,30.57,4534922
2018-03-16,29.97,31.05,29.92,30.92,9493239
2018-03-15,30.66,30.69,29.35,29.89,5503049
2018-03-14,30.43,30.92,30.38,30.6,4036388
2018-03-13,30.87,31.16,29.9,30.35,4835778
2018-03-12,30.34,30.95,30.27,30.79,5685453
2018-03-09,29.55,30.32,29.55,30.24,5969609
2018-03-08,29.11,29.8,28.83,29.31,7504057
2018-03-07,28.25,29.0,28.23,28.92,6977356
2018-03-06,28.13,28.635,28.06,28.55,5565866
2018-03-05,27.27,28.2,27.13,28.02,4058516
2018-03-02,26.97,27.57,26.33,27.45,3327568
2018-03-01,26.45,27.4847,26.38,27.13,8132227
2018-02-28,27.15,27.27,26.29,26.4,3647088
2018-02-27,27.71,27.98,26.99,27.0,3059651
2018-02-26,28.22,28.22,27.26,27.63,5882003
2018-02-23,28.13,28.48,27.6736,28.03,4792860
2018-02-22,27.08,28.57,27.08,28.04,8683020
2018-02-21,26.32,28.23,25.87,26.76,11329755
2018-02-20,26.55,26.98,26.27,26.44,3579816
2018-02-16,26.0,27.02,26.0,26.53,4427113
2018-02-15,26.5,26.77,25.53,26.14,4558422
2018-02-14,25.64,26.63,25.63,26.42,6051484
2018-02-13,26.73,26.76,25.9025,25.94,4457141
2018-02-12,26.88,27.12,26.01,26.85,8965030
2018-02-09,27.67,27.775,25.68,26.5,6332864
2018-02-08,28.94,29.06,27.45,27.5,7624041
2018-02-07,29.43,29.83,28.64,28.81,3648817
2018-02-06,28.85,29.59,28.03,29.22,8302495
2018-02-05,30.78,31.24,29.21,29.38,4381147
2018-02-02,31.8,31.98,30.9,31.05,6474646
2018-02-01,32.5,33.07,32.05,32.45,6529577
2018-01-31,31.87,32.82,31.65,32.15,7510058
2018-01-30,31.08,31.89,30.72,31.86,6472064
2018-01-29,32.5,32.7,31.32,31.4,4789234
2018-01-26,32.47,33.005,32.1,32.74,3844610
2018-01-25,33.8,33.8839,32.29,32.31,6468825
2018-01-24,35.96,36.16,33.1589,33.78,10209735
2018-01-23,35.56,36.04,34.995,35.82,6128056
2018-01-22,35.0,35.755,34.36,35.55,5954007
2018-01-19,34.37,34.94,34.2001,34.74,4955688
2018-01-18,36.07,36.12,34.64,34.74,6984811
2018-01-17,36.36,36.65,35.94,36.29,4074878
2018-01-16,37.08,37.1,36.06,36.28,3872590
2018-01-12,36.42,37.225,36.25,37.2,4080810
2018-01-11,35.5,36.62,35.1,36.5,5542035
2018-01-10,34.97,35.65,34.87,35.47,3495733
2018-01-09,34.52,35.05,34.09,35.03,3356487
2018-01-08,34.42,34.58,33.65,34.51,4481918
2018-01-05,34.7,34.7,33.69,34.44,3947873
2018-01-04,33.78,34.67,33.3,34.63,6065310
2018-01-03,32.43,33.65,32.41,33.53,4944285
2018-01-02,31.71,32.24,31.61,32.23,3583379
2017-12-29,31.58,31.795,31.06,31.64,3023416
2017-12-28,32.0,32.13,31.27,31.4,2744105
2017-12-27,32.08,32.35,31.88,32.03,2759100
2017-12-26,32.23,32.47,31.9,32.06,2190392
2017-12-22,32.0,32.46,31.49,32.23,2629036
2017-12-21,32.9,33.12,32.29,32.3,6188646
2017-12-20,31.86,32.88,31.81,32.74,4425770
2017-12-19,31.18,32.091,30.86,31.83,5851103
2017-12-18,30.48,31.225,30.33,31.03,6013378
2017-12-15,30.61,30.84,30.1,30.26,8529367
2017-12-14,30.24,30.84,30.02,30.59,7625132
2017-12-13,30.9,31.02,30.09,30.33,5384630
2017-12-12,30.68,31.66,30.59,30.95,5889048
2017-12-11,30.25,30.69,30.21,30.59,6731879
2017-12-08,30.55,30.8,30.07,30.26,4519560
2017-12-07,30.52,31.1,30.3,30.37,3668150
2017-12-06,30.65,31.17,30.29,30.51,4477402
2017-12-05,31.75,31.99,30.75,30.81,4479038
2017-12-04,30.7,32.59,30.595,31.71,7927222
2017-12-01,30.04,30.83,29.83,30.7,10795403
2017-11-30,30.02,30.63,29.695,29.73,11606444
2017-11-29,30.03,30.3,29.9,29.98,4887853
2017-11-28,30.2,30.37,29.99,30.08,4188487
2017-11-27,30.67,30.8,30.18,30.31,2496497
2017-11-24,30.78,31.11,30.5999,30.8,1314053
2017-11-22,30.75,31.13,30.6,30.71,3295023
2017-11-21,30.55,30.99,30.55,30.66,3346073
2017-11-20,30.92,30.92,30.31,30.44,3925683
2017-11-17,30.2,31.02,30.16,30.91,2689424
2017-11-16,30.61,31.15,30.11,30.15,3926933
2017-11-15,29.85,30.83,29.62,30.6,4624683
2017-11-14,31.46,31.75,29.95,30.51,6303303
2017-11-13,32.74,32.79,31.84,31.88,3664950
2017-11-10,32.65,33.14,32.4,32.95,2400842
2017-11-09,32.69,32.95,32.19,32.74,3857358
2017-11-08,33.24,33.72,32.79,32.84,3370157
2017-11-07,34.04,34.08,33.31,33.4,4435277
2017-11-06,31.55,33.98,31.54,33.92,8114101
2017-11-03,30.91,31.46,30.8511,31.18,4534328
2017-11-02,31.79,32.17,31.095,31.28,3894079
2017-11-01,31.75,32.34,31.56,31.85,3125507
2017-10-31,31.29,31.53,31.0504,31.43,3136367
2017-10-30,31.18,31.77,31.09,31.5,4545491
2017-10-27,29.79,31.31,29.62,31.3,4619981
2017-10-26,30.12,30.34,29.73,29.94,2594872
2017-10-25,30.7,30.86,30.0,30.05,4168498
2017-10-24,31.56,31.66,30.63,30.69,4114200
2017-10-23,33.1,33.26,31.4,31.47,5762277
2017-10-20,32.01,33.43,31.44,33.26,7142298
2017-10-19,33.55,33.89,33.05,33.15,4573949
2017-10-18,33.84,34.26,33.75,33.8,2626085
2017-10-17,33.64,34.07,33.3,33.79,4621612
2017-10-16,34.04,34.225,33.641,33.7,2891032
2017-10-13,34.26,34.6,33.71,33.73,2853566
2017-10-12,34.14,34.3,33.78,33.92,4645410
2017-10-11,34.81,34.9,34.23,34.39,4178147
2017-10-10,36.06,36.23,34.92,34.97,4200133
2017-10-09,36.59,36.67,35.8,35.84,3157903
2017-10-06,36.16,36.71,36.04,36.53,1826297
2017-10-05,36.84,36.92,36.46,36.48,1901599
2017-10-04,36.75,37.09,36.53,36.71,1970215
2017-10-03,36.84,37.1,36.39,36.67,2465816
2017-10-02,35.96,36.91,35.92,36.86,1906955
2017-09-29,36.8,37.05,36.32,36.62,3244297
2017-09-28,37.12,37.24,36.56,37.03,2119848
2017-09-27,37.1,37.2,36.69,36.93,1991726
2017-09-26,37.34,37.34,36.6597,37.04,2621187
2017-09-25,36.85,38.1,36.63,37.52,4722920
2017-09-22,36.53,36.74,36.28,36.67,3587582
2017-09-21,37.17,37.26,36.365,36.58,2565040
2017-09-20,37.55,37.68,37.24,37.5,2138025
2017-09-19,37.31,37.45,37.06,37.39,2958567
2017-09-18,36.91,37.49,36.78,37.36,3251876
2017-09-15,36.37,36.91,36.37,36.9,7621328
2017-09-14,36.35,37.14,36.2,36.38,4785692
2017-09-13,35.94,36.73,35.9,36.09,4296996
2017-09-12,35.38,36.4,35.24,35.96,3537032
2017-09-11,34.52,35.6,34.37,35.48,2825224
2017-09-08,34.77,34.98,34.06,34.42,3018954
2017-09-07,34.77,35.25,34.29,34.75,2064761
2017-09-06,35.39,35.74,34.72,34.74,3285802
2017-09-05,34.83,35.45,34.49,34.97,4386834
2017-09-01,33.97,34.44,33.73,34.3,1723282
2017-08-31,33.99,34.35,33.46,33.9,3592925
2017-08-30,33.6,33.73,33.2376,33.51,1637279
2017-08-29,33.1,33.81,33.1,33.75,2192874
2017-08-28,33.27,33.4,32.82,33.25,2510523
2017-08-25,32.88,33.41,32.8701,33.26,2035870
2017-08-24,33.09,33.09,32.54,32.82,1781949
2017-08-23,32.51,33.24,32.51,33.04,1565407
2017-08-22,32.62,32.945,32.43,32.69,1872479
2017-08-21,32.77,32.99,32.46,32.54,2340815
2017-08-18,32.74,33.13,32.4301,32.77,3179783
2017-08-17,33.79,34.09,32.75,32.8,2200268
2017-08-16,34.37,34.51,33.76,33.83,1367515
2017-08-15,34.03,34.42,34.03,34.31,2153221
2017-08-14,34.51,34.54,34.135,34.26,1927835
2017-08-11,34.51,34.89,34.28,34.29,1185973
2017-08-10,35.01,35.29,34.57,34.7,1971691
2017-08-09,34.79,35.29,34.76,35.02,2252626
2017-08-08,34.75,35.47,34.6442,34.94,2155678
2017-08-07,35.1,35.27,34.4,34.56,2054097
2017-08-04,35.42,35.54,35.06,35.23,3110626
2017-08-03,35.26,35.51,35.07,35.31,3181029
2017-08-02,35.36,35.55,35.035,35.35,3405697
2017-08-01,35.42,35.54,35.06,35.23,2955189
2017-07-31,37.14,37.17,36.43,36.89,3318805
2017-07-28,34.85,37.5,34.2257,37.1,4261445
2017-07-27,35.97,37.04,35.7,36.16,4593651
2017-07-26,35.58,36.18,35.22,36.05,3826003
2017-07-25,34.81,35.28,34.77,35.25,2871897
2017-07-24,34.26,34.46,33.88,34.36,2850884
2017-07-21,34.73,34.88,33.44,34.12,7737292
2017-07-20,36.59,36.9,34.86,34.97,6397004
2017-07-19,36.59,37.09,36.36,36.54,4230853
2017-07-18,37.52,37.78,36.73,36.75,3198593
2017-07-17,37.71,38.37,37.64,37.64,3917588
2017-07-14,37.0,37.495,36.91,37.35,2872910
2017-07-13,37.45,37.65,36.69,36.84,3860643
2017-07-12,37.77,37.99,37.25,37.37,3260591
2017-07-11,37.31,37.78,36.89,37.35,2791176
2017-07-10,37.63,38.17,36.8,37.23,4721508
2017-07-07,38.14,38.59,36.12,37.91,6014535
2017-07-06,38.09,38.09,36.52,37.01,5088097
2017-07-05,40.8,40.82,37.25,37.25,5883326
